Rank,Player,Profile URL
1,李世石,https://www.goratings.org/zh/../../zh/players/5.html
2,古力,https://www.goratings.org/zh/../../zh/players/179.html
3,谢赫,https://www.goratings.org/zh/../../zh/players/53.html
4,李昌镐,https://www.goratings.org/zh/../../zh/players/18.html
5,孔杰,https://www.goratings.org/zh/../../zh/players/208.html
6,常昊,https://www.goratings.org/zh/../../zh/players/155.html
7,朴永训,https://www.goratings.org/zh/../../zh/players/125.html
8,胡耀宇,https://www.goratings.org/zh/../../zh/players/184.html
9,张栩,https://www.goratings.org/zh/../../zh/players/108.html
10,崔哲瀚,https://www.goratings.org/zh/../../zh/players/161.html
11,姜东润,https://www.goratings.org/zh/../../zh/players/313.html
12,周睿羊,https://www.goratings.org/zh/../../zh/players/381.html
13,王檄,https://www.goratings.org/zh/../../zh/players/76.html
14,陈耀烨,https://www.goratings.org/zh/../../zh/players/297.html
15,赵汉乘,https://www.goratings.org/zh/../../zh/players/99.html
16,朴文垚,https://www.goratings.org/zh/../../zh/players/380.html
17,元晟溱,https://www.goratings.org/zh/../../zh/players/114.html
18,李喆,https://www.goratings.org/zh/../../zh/players/327.html
19,江维杰,https://www.goratings.org/zh/../../zh/players/964.html
20,王磊,https://www.goratings.org/zh/../../zh/players/69.html
21,邱峻,https://www.goratings.org/zh/../../zh/players/45.html
22,李映九,https://www.goratings.org/zh/../../zh/players/303.html
23,睦镇硕,https://www.goratings.org/zh/../../zh/players/121.html
24,白洪淅,https://www.goratings.org/zh/../../zh/players/315.html
25,尹峻相,https://www.goratings.org/zh/../../zh/players/267.html
26,高尾绅路,https://www.goratings.org/zh/../../zh/players/175.html
27,周鹤洋,https://www.goratings.org/zh/../../zh/players/135.html
28,安祚永,https://www.goratings.org/zh/../../zh/players/144.html
29,刘星,https://www.goratings.org/zh/../../zh/players/24.html
30,柁嘉熹,https://www.goratings.org/zh/../../zh/players/433.html
31,罗洗河,https://www.goratings.org/zh/../../zh/players/43.html
32,彭立尧,https://www.goratings.org/zh/../../zh/players/993.html
33,丁伟,https://www.goratings.org/zh/../../zh/players/166.html
34,彭荃,https://www.goratings.org/zh/../../zh/players/118.html
35,许映皓,https://www.goratings.org/zh/../../zh/players/278.html
36,井山裕太,https://www.goratings.org/zh/../../zh/players/601.html
37,山下敬吾,https://www.goratings.org/zh/../../zh/players/64.html
38,朴正祥,https://www.goratings.org/zh/../../zh/players/126.html
39,时越,https://www.goratings.org/zh/../../zh/players/449.html
40,古灵益,https://www.goratings.org/zh/../../zh/players/178.html
41,钟文靖,https://www.goratings.org/zh/../../zh/players/467.html
42,俞斌,https://www.goratings.org/zh/../../zh/players/92.html
43,黄奕中,https://www.goratings.org/zh/../../zh/players/190.html
44,王垚,https://www.goratings.org/zh/../../zh/players/78.html
45,甘思阳,https://www.goratings.org/zh/../../zh/players/487.html
46,金志锡,https://www.goratings.org/zh/../../zh/players/862.html
47,结城聪,https://www.goratings.org/zh/../../zh/players/251.html
48,依田纪基,https://www.goratings.org/zh/../../zh/players/90.html
49,洪性志,https://www.goratings.org/zh/../../zh/players/340.html
50,牛雨田,https://www.goratings.org/zh/../../zh/players/120.html
51,金主镐,https://www.goratings.org/zh/../../zh/players/200.html
52,刘昌赫,https://www.goratings.org/zh/../../zh/players/30.html
53,赵治勋,https://www.goratings.org/zh/../../zh/players/98.html
54,洪旼杓,https://www.goratings.org/zh/../../zh/players/325.html
55,河野临,https://www.goratings.org/zh/../../zh/players/182.html
56,曹薰铉,https://www.goratings.org/zh/../../zh/players/149.html
57,王雷,https://www.goratings.org/zh/../../zh/players/72.html
58,朱元豪,https://www.goratings.org/zh/../../zh/players/436.html
59,宋泰坤,https://www.goratings.org/zh/../../zh/players/218.html
60,羽根直树,https://www.goratings.org/zh/../../zh/players/93.html
61,河成奉,https://www.goratings.org/zh/../../zh/players/1040.html
62,孙力,https://www.goratings.org/zh/../../zh/players/898.html
63,王煜辉,https://www.goratings.org/zh/../../zh/players/75.html
64,唐韦星,https://www.goratings.org/zh/../../zh/players/897.html
